,crop_type
0,2
1,2
2,3
3,3
4,3
5,1
6,4
7,4
8,3
9,1
10,3
11,3
12,2
13,1
14,1
15,2
16,3
17,3
18,2
19,4
20,3
21,3
22,2
23,4
24,1
25,3
26,3
27,2
28,4
29,3
30,1
31,2
32,3
33,1
34,3
35,3
36,3
37,3
38,4
39,1
40,3
41,1
42,3
43,3
44,4
45,2
46,3
47,2
48,1
49,3
50,3
51,2
52,4
53,3
54,3
55,2
56,3
57,1
58,3
59,3
60,2
61,3
62,1
63,3
64,2
65,3
66,3
67,3
68,3
69,1
70,3
71,4
72,3
73,3
74,3
75,1
76,4
77,2
78,2
79,2
80,3
81,3
82,3
83,1
84,2
85,3
86,3
87,3
88,3
89,4
90,3
91,1
92,1
93,2
94,3
95,2
96,4
97,3
98,3
99,3
100,4
101,2
102,1
103,1
104,2
105,2
106,3
107,3
108,3
109,3
110,3
111,3
112,2
113,2
114,1
115,1
116,4
117,1
118,1
119,3
120,3
121,2
122,1
123,2
124,1
125,3
126,3
127,2
128,3
129,3
130,1
131,2
132,3
133,3
134,3
135,1
136,3
137,3
138,3
139,1
140,1
141,1
142,2
143,3
144,1
145,1
146,2
147,2
148,3
149,3
150,3
151,2
152,3
153,3
154,2
155,2
156,3
157,1
158,3
159,2
160,1
161,1
162,3
163,3
164,1
165,3
166,2
167,3
168,1
169,2
170,2
171,1
172,1
173,3
174,1
175,2
176,3
177,3
178,3
179,3
180,1
181,2
182,3
183,4
184,1
185,1
186,4
187,4
188,1
189,3
190,2
191,2
192,3
193,1
194,3
195,1
196,1
197,3
198,1
199,2
200,3
201,2
202,3
203,3
204,3
205,3
206,3
207,3
208,4
209,3
210,1
211,3
212,3
213,3
214,1
215,2
216,1
217,2
218,4
219,1
220,3
221,2
222,2
223,3
224,4
225,3
226,3
227,1
228,3
229,3
230,1
231,3
232,4
233,2
234,3
235,1
236,3
237,3
238,3
239,2
240,2
241,4
242,3
243,1
244,1
245,2
246,4
247,2
248,3
249,1
250,1
251,3
252,2
253,3
254,4
255,3
256,3
257,3
258,1
259,1
260,4
261,3
262,3
263,4
264,1
265,1
266,1
267,2
268,2
269,3
270,2
271,2
272,3
273,3
274,1
275,1
276,1
277,1
278,1
279,2
280,3
281,2
282,2
283,1
284,2
285,1
286,3
287,3
288,2
289,3
290,3
291,2
292,2
293,3
294,4
295,3
296,2
297,4
298,2
299,4
300,1
301,3
302,1
303,4
304,3
305,3
306,2
307,1
308,3
309,3
310,4
311,1
312,1
313,3
314,3
315,1
316,3
317,3
318,2
319,3
320,4
321,2
322,2
323,2
324,4
325,4
326,3
327,1
328,1
329,3
330,3
331,1
332,1
333,3
334,3
335,3
336,1
337,3
338,3
339,4
340,4
341,3
342,3
343,1
344,4
345,1
346,1
347,1
348,3
349,3
350,3
351,3
352,4
353,3
354,1
355,3
356,4
357,2
358,4
359,3
360,3
361,3
362,3
363,3
364,4
365,3
366,3
367,3
368,3
369,3
370,4
371,2
372,2
373,2
374,3
375,3
376,3
377,1
378,2
379,1
380,3
381,1
382,2
383,1
384,1
385,3
386,1
387,2
388,3
389,3
390,1
391,3
392,1
393,3
394,3
395,3
396,2
397,4
398,2
399,3
400,3
401,4
402,1
403,3
404,3
405,3
406,3
407,4
408,3
409,3
410,2
411,1
412,2
413,1
414,3
415,3
416,2
417,1
418,3
419,3
420,1
421,2
422,1
423,2
424,1
425,1
426,2
427,2
428,3
429,1
430,2
431,3
432,3
433,1
434,2
435,3
436,3
437,1
438,1
439,1
440,2
441,3
442,1
443,3
444,1
445,2
446,1
447,1
448,3
449,3
450,3
451,2
452,2
453,3
454,1
455,2
456,2
457,1
458,4
459,1
460,1
461,2
462,1
463,1
464,2
465,1
466,3
467,2
468,1
469,1
470,3
471,2
472,3
473,2
474,3
475,1
476,3
477,2
478,2
479,3
480,3
481,2
482,2
483,3
484,3
485,3
486,2
487,1
488,4
489,3
490,2
491,3
492,3
493,1
494,3
495,3
496,1
497,4
498,3
499,3
500,1
501,1
502,2
503,4
504,3
505,3
506,1
507,3
508,3
509,3
510,3
511,3
512,3
513,1
514,3
515,1
516,4
517,3
518,3
519,3
520,1
521,2
522,3
523,2
524,3
525,1
526,2
527,2
528,4
529,3
530,3
531,1
532,4
533,1
534,1
535,3
536,2
537,3
538,3
539,1
540,3
541,2
542,2
543,2
544,3
545,3
546,1
547,3
548,1
549,3
550,2
551,3
552,1
553,2
554,4
555,2
556,1
557,1
558,2
559,3
560,4
561,1
562,1
563,1
564,4
